window_idx,start,end,n_days,spd_strategy,spd_uniform,pct_strategy,pct_uniform
90,2016-03-31 00:00:00+00:00,2017-03-30 00:00:00+00:00,365,149951.68092343202,150808.42991062693,44.453894012967616,44.97998486209674
91,2016-04-01 00:00:00+00:00,2017-03-31 00:00:00+00:00,365,149558.412196993,150403.04300466098,44.40785803994978,44.928800489766054
92,2016-04-02 00:00:00+00:00,2017-04-01 00:00:00+00:00,365,149167.78823360114,149997.8110110709,44.393113730651,44.90766802155248
93,2016-04-03 00:00:00+00:00,2017-04-02 00:00:00+00:00,365,148775.6923784546,149592.9398339094,44.15004256418813,44.656677076333054
94,2016-04-04 00:00:00+00:00,2017-04-03 00:00:00+00:00,365,148377.77433976042,149180.08582847385,43.90336206361035,44.40073735301569
95,2016-04-05 00:00:00+00:00,2017-04-04 00:00:00+00:00,365,147977.43699327012,148766.97837720267,43.655181766591696,44.14464051154955
96,2016-04-06 00:00:00+00:00,2017-04-05 00:00:00+00:00,365,147584.06798198386,148359.73766731788,43.41132133509601,43.892180626846425
97,2016-04-07 00:00:00+00:00,2017-04-06 00:00:00+00:00,365,147178.44980328612,147939.71390100254,43.15986730277078,43.63179616860663
98,2016-04-08 00:00:00+00:00,2017-04-07 00:00:00+00:00,365,146776.75223750935,147519.5636157286,42.910843767844185,43.371333277732454
99,2016-04-09 00:00:00+00:00,2017-04-08 00:00:00+00:00,365,146367.08573172585,147096.44835289294,42.67426033831979,43.12659681482321
100,2016-04-10 00:00:00+00:00,2017-04-09 00:00:00+00:00,365,145953.47234836535,146667.944542139,42.898941503560906,43.34706986956907
101,2016-04-11 00:00:00+00:00,2017-04-10 00:00:00+00:00,365,145553.78787610712,146244.76566325006,42.84665509589223,43.282063560363135
102,2016-04-12 00:00:00+00:00,2017-04-11 00:00:00+00:00,365,145147.03605411903,145820.2750120281,42.83038653445606,43.257008129890124
103,2016-04-13 00:00:00+00:00,2017-04-12 00:00:00+00:00,365,144742.17154738674,145404.58019730853,42.573829869444886,42.993588458485306
104,2016-04-14 00:00:00+00:00,2017-04-13 00:00:00+00:00,365,144344.28404468583,144993.39906313372,42.468061382192914,42.88081856830711
105,2016-04-15 00:00:00+00:00,2017-04-14 00:00:00+00:00,365,143945.69131488545,144583.3548790408,42.732289247975345,43.14273712352688
